what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1368956627073
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1368956627635
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1368956627947
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.edit.text.openLocalFile",1368956628103
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1368956629086
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1368956629101
activated,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1368956629710
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1368956629772
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1368956629866
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368956769611
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368956787212
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1368956979663
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957780210
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957788291
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957825138
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957834950
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957867648
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957879520
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957916039
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368957924089
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368958029982
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368958033367
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368958034522
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368958039295
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1368958418001
