what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1369075279145
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1369075279145
java.specification.name,sysinfo,,,"Java Platform API Specification",1369075279145
java.specification.vendor,sysinfo,,,"Oracle Corporation",1369075279145
java.specification.version,sysinfo,,,"1.7",1369075279145
java.vendor,sysinfo,,,"Oracle Corporation",1369075279145
java.version,sysinfo,,,"1.7.0_01",1369075279145
java.vm.info,sysinfo,,,"mixed mode, sharing",1369075279145
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1369075279145
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369075279145
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1369075279145
java.vm.specification.version,sysinfo,,,"1.7",1369075279145
java.vm.vendor,sysinfo,,,"Oracle Corporation",1369075279145
java.vm.version,sysinfo,,,"21.1-b02",1369075279145
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1369075279301
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1369075279488
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1369075279550
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1369075279628
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1369075279925
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1369075279956
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1369075279987
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1369075280050
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1369075280081
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1369075280252
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369075295884
