what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1368956035090
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368956035090
java.specification.version,sysinfo,,,"1.7",1368956035090
java.vendor,sysinfo,,,"Oracle Corporation",1368956035090
java.version,sysinfo,,,"1.7.0_01",1368956035090
java.vm.info,sysinfo,,,"mixed mode, sharing",1368956035090
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368956035090
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368956035090
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368956035090
java.vm.specification.version,sysinfo,,,"1.7",1368956035090
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368956035090
java.vm.version,sysinfo,,,"21.1-b02",1368956035090
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1368956035417
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1368956035449
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1368956035464
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1368956035839
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1368956035854
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1368956035948
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1368956036322
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1368956036338
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1368956036400
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1368956036447
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1368956036587
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.ToggleCoolbarAction",1368956474636
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1368956494729
